iter	Passed	Remaining
0	179	179736
1	189	94405
2	196	65221
3	204	51025
4	214	42660
5	224	37177
6	232	33009
7	240	29792
8	247	27253
9	254	25191
10	261	23526
11	268	22116
12	275	20934
13	282	19907
14	289	19023
15	296	18265
16	304	17599
17	313	17099
18	320	16552
19	327	16061
20	334	15607
21	342	15213
22	349	14842
23	356	14499
24	363	14175
25	370	13876
26	377	13601
27	385	13373
28	395	13228
29	403	13057
30	411	12872
31	419	12688
32	427	12514
33	434	12331
34	441	12165
35	448	12002
36	455	11862
37	462	11720
38	469	11579
39	476	11444
40	483	11319
41	491	11202
42	498	11089
43	505	10982
44	512	10876
45	520	10799
46	528	10706
47	534	10609
48	541	10516
49	548	10426
50	556	10346
51	563	10270
52	571	10211
53	581	10187
54	591	10163
55	600	10122
56	611	10113
57	622	10116
58	631	10073
59	642	10067
60	654	10080
61	663	10040
62	673	10016
63	680	9953
64	688	9906
65	698	9878
66	707	9852
67	714	9796
68	722	9749
69	729	9696
70	736	9642
71	743	9585
72	751	9546
73	759	9506
74	768	9480
75	777	9448
76	784	9399
77	791	9350
78	798	9303
79	804	9254
80	811	9209
81	818	9165
82	827	9146
83	834	9103
84	841	9058
85	848	9016
86	855	8974
87	863	8944
88	870	8907
89	878	8880
90	885	8840
91	893	8816
92	900	8782
93	907	8749
94	914	8716
95	921	8679
96	928	8647
97	935	8614
98	943	8584
99	950	8550
100	957	8523
101	964	8489
102	971	8459
103	977	8425
104	986	8405
105	995	8394
106	1004	8384
107	1012	8366
108	1020	8341
109	1030	8341
110	1039	8327
111	1050	8332
112	1060	8327
113	1072	8335
114	1083	8337
115	1092	8328
116	1102	8321
117	1114	8331
118	1122	8309
119	1130	8289
120	1140	8288
121	1148	8262
122	1154	8234
123	1161	8208
124	1168	8182
125	1175	8157
126	1182	8128
127	1189	8103
128	1196	8076
129	1203	8055
130	1211	8033
131	1218	8013
132	1225	7991
133	1232	7964
134	1239	7940
135	1245	7915
136	1252	7892
137	1259	7868
138	1266	7843
139	1273	7824
140	1280	7801
141	1287	7780
142	1294	7758
143	1301	7735
144	1307	7711
145	1314	7689
146	1321	7667
147	1327	7644
148	1336	7631
149	1342	7610
150	1349	7588
151	1356	7566
152	1362	7544
153	1370	7527
154	1376	7506
155	1384	7488
156	1391	7469
157	1397	7449
158	1404	7429
159	1411	7408
160	1419	7396
161	1427	7385
162	1436	7378
163	1448	7382
164	1457	7374
165	1474	7408
166	1485	7410
167	1497	7416
168	1510	7429
169	1524	7441
170	1535	7443
171	1545	7439
172	1556	7441
173	1565	7430
174	1574	7421
175	1582	7409
176	1591	7401
177	1601	7393
178	1607	7374
179	1615	7357
180	1622	7339
181	1629	7322
182	1636	7304
183	1642	7285
184	1650	7271
185	1657	7252
186	1664	7235
187	1671	7217
188	1678	7200
189	1684	7183
190	1691	7166
191	1698	7148
192	1705	7131
193	1712	7114
194	1719	7096
195	1725	7079
196	1732	7063
197	1740	7047
198	1747	7033
199	1754	7017
200	1761	7001
201	1768	6986
202	1775	6971
203	1782	6954
204	1788	6937
205	1795	6921
206	1802	6904
207	1809	6889
208	1815	6872
209	1822	6856
210	1829	6841
211	1836	6826
212	1845	6819
213	1852	6802
214	1858	6787
215	1865	6771
216	1873	6761
217	1883	6756
218	1892	6747
219	1901	6741
220	1911	6736
221	1919	6728
222	1929	6723
223	1938	6715
224	1948	6711
225	1958	6707
226	1966	6696
227	1973	6683
228	1984	6682
229	1995	6679
230	2003	6669
231	2012	6660
232	2021	6654
233	2030	6646
234	2039	6637
235	2047	6628
236	2055	6617
237	2063	6607
238	2071	6596
239	2079	6585
240	2087	6575
241	2096	6566
242	2104	6556
243	2112	6546
244	2121	6536
245	2130	6529
246	2138	6518
247	2146	6507
248	2161	6519
249	2183	6551
250	2200	6566
251	2210	6561
252	2224	6567
253	2232	6557
254	2241	6549
255	2250	6541
256	2258	6528
257	2265	6516
258	2274	6506
259	2282	6495
260	2290	6484
261	2297	6472
262	2306	6462
263	2314	6453
264	2322	6442
265	2330	6430
266	2338	6420
267	2346	6410
268	2354	6399
269	2363	6389
270	2370	6377
271	2380	6370
272	2387	6358
273	2394	6344
274	2401	6331
275	2408	6317
276	2415	6303
277	2421	6289
278	2428	6275
279	2435	6263
280	2442	6250
281	2449	6236
282	2456	6222
283	2463	6210
284	2470	6197
285	2477	6184
286	2485	6174
287	2491	6160
288	2498	6147
289	2505	6134
290	2512	6120
291	2519	6107
292	2525	6094
293	2532	6081
294	2539	6067
295	2545	6054
296	2552	6041
297	2559	6028
298	2565	6015
299	2572	6003
300	2579	5990
301	2586	5978
302	2594	5967
303	2601	5955
304	2607	5942
305	2615	5931
306	2622	5919
307	2629	5908
308	2638	5899
309	2648	5894
310	2657	5888
311	2667	5882
312	2676	5874
313	2686	5869
314	2699	5870
315	2708	5861
316	2717	5856
317	2725	5844
318	2733	5834
319	2741	5825
320	2750	5818
321	2757	5805
322	2764	5794
323	2775	5790
324	2784	5783
325	2792	5773
326	2800	5764
327	2807	5751
328	2814	5739
329	2821	5727
330	2829	5718
331	2835	5705
332	2842	5693
333	2849	5681
334	2856	5669
335	2862	5657
336	2869	5645
337	2876	5633
338	2883	5621
339	2889	5609
340	2896	5597
341	2903	5586
342	2911	5577
343	2918	5564
344	2925	5554
345	2932	5543
346	2940	5532
347	2948	5523
348	2955	5512
349	2962	5500
350	2968	5488
351	2975	5477
352	2982	5466
353	2988	5454
354	2995	5443
355	3003	5432
356	3010	5422
357	3016	5410
358	3023	5399
359	3030	5387
